,wine_index,white_wine,white_wineries,white_regions,white_countries,white_avg_wine_ratings,white_avg_price,vintage_year
0,0,Chardonnay Hudson Vineyard,Patz & Hall,Sonoma County,United States,4.0,54.99,
1,1,Meursault-Blagny,Thierry et Pascale Matrot,C\xf4te de Beaune,France,3.9,47.68,
2,2,Domaine de La Chapelle Les Grands Climats Pouilly-Fuiss\xe9 2013,Catherine et Pascal Rollet,Bourgogne,France,4.1,29.97,2013.0
3,3,Sauvignon Blanc 2014,Ancient Peaks,California,United States,4.0,12.98,2014.0
4,4,"[u""Champion's Lot Riva Ranch Chardonnay 2013""]",Wente,Livermore Valley,United States,3.8,24.98,2013.0
5,5,Pradvaj Roero Arneis,Malabaila di Canale,Piemonte,Italy,3.9,19.88,
6,6,Meursault 2011,Olivier Leflaive,Bourgogne,France,3.9,55.48,2011.0
7,7,Torrontes 2013,Colom\xe9,Valle de Cafayate,Argentina,3.6,13.43,2013.0
8,8,Destin\xe9a Sauvignon Blanc 2014,Joseph Mellot,Loire,France,3.5,11.49,2014.0
9,9,Chardonnay,Fuzion,Mendoza,Argentina,3.0,11.84,
10,10,B\xe2tard-Montrachet Grand Cru 2005,Domaine Leflaive,Bourgogne,France,4.6,388.99,2005.0
11,11,Baron Thenard Montrachet Grand cru,Baron Thenard,Bourgogne,France,4.5,322.32,
12,12,Beyond Sauvignon Blanc 2014,Buitenverwachting ,Constantia,South Africa,3.8,11.98,2014.0
13,13,Vernaccia di San Gimignano 2015,Rocca delle Macie,Toscana,Italy,3.6,15.99,2015.0
14,14,Vi\xf1a Gravonia 2006,R. L\xf3pez de Heredia Vi\xf1a Tondonia,Rioja,Spain,4.1,28.98,2006.0
15,15,Pinot Grigio 2015,Estancia,Monterey,United States,3.2,11.98,2015.0
16,16,Les Chasseignes Sancerre 2014,Domaine Fouassier,Upper Loire,France,3.7,21.96,2014.0
17,17,Riesling Alsace Grand Cru Kitterl\xe9 2005,Domaines Schlumberger,Alsace,France,4.1,72.28,2005.0
18,18,Fum\xe9 Blanc,Robert Mondavi,Oakville,United States,3.7,15.98,
19,19,Organic Tocken Riesling,Dreissigacker,Rheinhessen,Germany,3.7,55.99,
20,20,Gruner Veltliner Wachstum Bodenstein,Prager,Wachau,Austria,4.3,81.78,
21,21,Pinot Gris Alsace Clos Windsbuhl,Domaine Zind Humbrecht,Alsace,France,4.1,72.88,
22,22,Chardonnay,Folie \xe0 Deux,Napa Valley,United States,3.7,15.98,
23,23,Clos Des Bouffants Sancerre 2014,Roger Neveu,Loire,France,3.9,21.13,2014.0
24,24,Vermentino Toscana 2015,Aia Vecchia,Bolgheri,Italy,3.6,13.96,2015.0
25,25,Saint Cosme C\xf4tes du Rh\xf4ne Blanc,Ch\xe2teau de Saint Cosme,Vall\xe9e du Rh\xf4ne,France,3.7,20.23,
26,26,Sauvignon Blanc,Ernst Gouws & Co,Stellenbosch,South Africa,3.2,12.39,
27,27,Torront\xe9s Privado 2014,Bodegas Etchart,Valle de Cafayate,Argentina,3.3,6.71,2014.0
28,28,Chablis,Jean-Paul & Benoit Droin,Chablis,France,3.7,26.97,
29,29,Paleo Bianco 2012,Le Macchiole,Toscana,Italy,4.3,74.99,2012.0
30,30,Soliloquy Vineyard Sauvignon Blanc 2014,Flora Springs,St. Helena,United States,3.9,22.98,2014.0
31,31,Sauvignon Blanc 2015,Veramonte,Valle de Casablanca,Chile,3.6,9.94,2015.0
32,32,"[u""Winemaster's (Reserve) Sauvignon Blanc 2015""]",Nederburg,Coastal Region,South Africa,3.3,9.78,2015.0
33,33,Kung Fu Girl Riesling 2014,Charles Smith,Walla Walla Valley,United States,3.8,12.48,2014.0
34,34,Mount Hermon White 2013,Hermon,Galil,Israel,3.5,14.48,2013.0
35,35,Puligny-Montrachet 1er Cru Les Pucelles 1996,Domaine Leflaive,Bourgogne,France,4.5,249.0,1996.0
36,36,Vitral Reserva Sauvignon Blanc,Vi\xf1a Maipo,Valle del Maipo,Chile,3.3,11.98,
37,37,Beaujolais Blanc Chardonnay 2014,Pierre-Marie Chermette,Beaujolais,France,3.7,21.9,2014.0
38,38,Doyle Family Finger Lakes Chardonnay,Fox Run,Seneca Lake,United States,3.5,12.98,
39,39,Sauvignon Blanc,Cupcake Vineyards,California,United States,3.5,9.98,
40,40,Reto Manchuela 2014,Ponce,Castilla,Spain,3.8,20.97,2014.0
41,41,Aidani 2014,Hatzidakis,Santorini,Greece,3.6,27.15,2014.0
42,42,Legno Chardonnay 2013,Pizzato,Vale dos Vinhedos,Brazil,3.8,18.33,2013.0
43,43,B\xe2tard-Montrachet Grand Cru,Domaine Ramonet,C\xf4te de Beaune,France,4.5,547.95,
44,44,C C C C Four C White,Cabriz,D\xe3o,Portugal,4.5,7.99,
45,45,Fum\xe9 Blanc 2013,Robert Mondavi,Oakville,United States,3.8,16.98,2013.0
46,46,Chardonnay Old Head,Matchbook,California,United States,3.6,12.98,
47,47,Chablis La Pierrel\xe9e 2013,La Chablisienne,Chablis,France,3.6,21.98,2013.0
48,48,The Cutrer Chardonnay,Sonoma-Cutrer,Russian River Valley,United States,4.1,26.66,
49,49,Pinot Grigio Trentino 2015,Mezzacorona,Trentino,Italy,3.3,7.96,2015.0
50,50,"[u""Il Cavaliere Cuv\xe9e Collection Diplomate D' Empire""]",Abbatucci,Korsika,France,4.0,87.48,
51,51,Federspiel Gr\xfcner Veltliner,Rudi Pichler,Wachau,Austria,3.7,25.73,
52,52,Meursault,Albert Bichot,Bourgogne,France,3.9,57.38,
53,53,Riesling Scharzhofberger Sp\xe4tlese 2011,Egon M\xfcller-Scharzhof,Mosel,Germany,4.2,125.0,2011.0
54,54,Gewurztraminer Alsace Cuv\xe9e des Seigneurs de Ribeaupierre 2007,Trimbach,Alsace,France,4.0,47.89,2007.0
55,55,Chardonnay 2011,Barefoot,Napa Valley,United States,3.1,9.89,2011.0
56,56,Chardonnay 2013,Glen Carlou,Paarl,South Africa,3.7,15.72,2013.0
57,57,"[u""Woodcutter's Roussanne - Viognier - Marsanne""]",Torbreck,South Australia,Australia,3.7,17.29,
58,58,Chardonnay Cuv\xe9e du Pape 2012,Ch\xe2teau Ksara,Bekaa Valley,Lebanon,3.5,21.99,2012.0
59,59,Verdejo,Cuatro Rayas,Castilla y Le\xf3n,Spain,3.4,5.49,
60,60,[+] Torrontes,Santa Julia,Mendoza,Argentina,2.9,10.69,
61,61,Luminous Pinot Gris 2012,King Estate,Willamette Valley,United States,4.5,12.98,2012.0
62,62,Ribeiro 2013,Sameiras,Galicia,Spain,3.6,16.67,2013.0
63,63,Delle Venezie Pinot Grigio,Tomaiolo,Toscana,Italy,3.5,9.98,
64,64,La Battistina Gavi,Araldica,Piemonte,Italy,3.6,15.98,
65,65,Meursault-Charmes Premier Cru 2004,Domaine des Comtes Lafon,Meursault,France,4.4,264.98,2004.0
66,66,Rias Baixas Albarino Burgans 2014,Martin Codax,Galicia,Spain,3.7,13.98,2014.0
67,67,Napa Valley Chardonnay 2014,Aviary,Napa Valley,United States,3.7,15.83,2014.0
68,68,Luminus Chardonnay 2014,Beringer Vineyards,St. Helena,United States,4.0,31.32,2014.0
69,69,Habis Rueda Verdejo 2012,Shaya,Castilla y Le\xf3n,Spain,4.2,23.96,2012.0
70,70,Meursault 2012,Domaine des Comtes Lafon,Meursault,France,4.5,115.94,2012.0
71,71,Electra Red Moscato 2013,Quady,California,United States,3.8,12.98,2013.0
72,72,Puligny-Montrachet Premier Cru La Truffi\xe8re 2009,J.M. Boillot,Pommard,France,4.6,84.6,2009.0
73,73,Chardonnay 2014,Black Stallion,Napa Valley,United States,4.0,17.96,2014.0
74,74,Terre Bianche Torbato Alghero 2015,Sella & Mosca,Sardegna,Italy,3.8,21.43,2015.0
75,75,Moonlite Toscana 2014,Rocca delle Macie,Toscana,Italy,3.5,12.48,2014.0
76,76,Barrel Selection Chardonnay 2012,La Forge,Languedoc-Roussillon,France,3.3,16.28,2012.0
77,77,Riesling Trocken 2014,Gunderloch,Rheinhessen,Germany,3.8,18.98,2014.0
78,78,Pouilly-Fuiss\xe9 Vignes Blanches 2011,Domaine Thibert,M\xe2connais,France,4.1,39.99,2011.0
79,79,Sherry Piconera Solera Pedro Ximenez 1941,Las Urtas,Andaluc\xeda,Spain,4.6,24.26,1941.0
80,80,Chardonnay Sicilia,Planeta,Terre Siciliane,Italy,4.0,36.98,
81,81,County White Wine Marcellas,Santa Barbara,Serra Ga\xfacha,Brazil,3.7,18.22,
82,82,Puligny-Montrachet 2012,Joseph Drouhin,Bourgogne,France,4.1,73.97,2012.0
83,83,Sauvignon Blanc 2013,Wines of Substance,Columbia Valley,United States,3.8,25.63,2013.0
84,84,Dutton Ranch Chardonnay 2013,The Calling,Sonoma County,United States,4.0,26.97,2013.0
85,85,Wild Ferment Chardonnay 2014,Errazuriz,Valle de Aconcagua,Chile,3.8,16.94,2014.0
86,86,Chardonnay,Talus,California,United States,3.3,7.48,
87,87,Chardonnay 2014,Paul Hobbs,Sonoma County,United States,4.2,54.98,2014.0
88,88,Sauvignon Blanc Professor Black 2015,Warwick,Stellenbosch,South Africa,3.7,17.97,2015.0
89,89,Sauvignon Blanc 2014,Peju,Rutherford,United States,4.0,20.58,2014.0
90,90,Puligny-Montrachet 1er Cru Les Truffi\xe8res 2011,Louis Latour,C\xf4te de Nuits,France,4.3,98.75,2011.0
91,91,Chenin Blanc,Simonsig,Stellenbosch,South Africa,3.6,12.78,
92,92,Sauvignon Blanc 2013,Smoking Loon,California,United States,2.9,9.98,2013.0
93,93,Chablis R\xe9serve De Vaudon 2011,Joseph Drouhin,Bourgogne,France,3.5,19.99,2011.0
94,94,Le Rime Pinot Grigio 2014,Banfi,Toscana,Italy,3.7,10.75,2014.0
95,95,Chardonnay McCrea Vineyard 2013,Kistler Vineyards,Sonoma County,United States,4.3,128.99,2013.0
96,96,Gew\xfcrztraminer Lunare 2012,Terlan,Alto Adige,Italy,4.4,50.09,2012.0
97,97,Sauvignon Blanc  2013,Chimney Rock,Napa Valley,United States,3.8,22.98,2013.0
98,98,La Luciana Gavi 2015,Araldica,Piemonte,Italy,3.6,11.98,2015.0
99,99,Meursault 2009,Domaine des Comtes Lafon,Meursault,France,4.4,79.97,2009.0
100,100,Arroyo Vista Chardonnay 2014,J. Lohr Vineyards & Wines,Central Coast,United States,4.0,15.55,2014.0
101,101,Wolff Vineyard Chardonnay 2013,Mount Eden Vineyards,California,United States,3.8,22.98,2013.0
102,102,Chardonnay 2015,Terranoble,Valle de Maule,Chile,3.3,9.45,2015.0
103,103,Silex,Didier Dagueneau,Pouilly-Fum\xe9,France,4.5,124.47,
104,104,Pedraia Nuragus di Cagliari 2013,Santadi,Sardegna,Italy,3.4,12.51,2013.0
105,105,Chardonnay 2013,Barista,Western Cape,South Africa,3.4,12.98,2013.0
106,106,Mosel Riesling 2015,Julian Haart,Mosel,Germany,4.0,22.73,2015.0
107,107,Napa Valley Sauvignon Blanc,Matthew Fritz,Sonoma County,United States,3.3,12.94,
108,108,Sauvignon Blanc,Quivira Vineyards,Sonoma County,United States,3.7,14.98,
109,109,Riesling Auslese Brauneberger Juffer Sonnenuhr 2002,Fritz Haag,Brauneberg,Germany,4.1,1309.99,2002.0
110,110,Qvinterra Trocken Riesling,Kuhling-Gillot,Rheinhessen,Germany,3.9,15.98,
111,111,"[u""Clos de l'Oratoire des Papes Ch\xe2teauneuf-du-Pape Blanc 2013""]",Ogier,Ch\xe2teauneuf-du-Pape,France,4.0,46.03,2013.0
112,112,Crest Chardonnay - Sauvignon Blanc 2015,Hardys,South Australia,Australia,3.5,12.98,2015.0
113,113,Puligny-Montrachet 2011,Chanson,C\xf4te de Beaune,France,4.3,59.98,2011.0
114,114,Old Vine Rueda Verdejo 2012,Shaya,Castilla y Le\xf3n,Spain,3.5,13.97,2012.0
115,115,Berg Schlossberg 2011,Georg Breuer,Rheingau,Germany,4.4,108.27,2011.0
116,116,Sauvignon Blanc 2012,Anakena,Valle de Cachapoal,Chile,3.3,13.99,2012.0
117,117,Marques De Somera Macabeo,Covinca,Cari\xf1ena,Spain,3.1,9.95,
118,118,Gew\xfcrztraminer 2013,The Vibrant Vine,Okanagan Valley,Canada,4.4,18.74,2013.0
119,119,White 2013,Vuurberg,Stellenbosch,South Africa,4.2,14.9,2013.0
120,120,"[u""Tilly's Vineyard""]",Henschke,South Australia,Australia,3.7,52.0,
121,121,Sonoma Valley Chardonnay 2010,Hanzell,Sonoma County,United States,4.5,64.95,2010.0
122,122,Sauvignon Blanc Reserva 2014,Veramonte,Valle de Casablanca,Chile,3.6,10.98,2014.0
123,123,Gently Dry Vignoles,Keuka Lake,New York,United States,3.9,17.99,
124,124,Chardonnay 2013,Alice White,South Eastern Australia,Australia,3.3,7.49,2013.0
125,125,Soave Classico,Bolla,Veneto,Italy,3.3,9.48,
126,126,Sauvignon Blanc Winemaker Selection 2015,Santa Lucia,Valle de Rapel,Chile,3.6,4.85,2015.0
127,127,Du Logis De La Fontaine Pineau Des Charentes,Vicomte Bernard de Romanet,Languedoc,France,4.3,38.99,
128,128,Campo Delle Oche Dei Castelli De Jesi Classico Superiore Verdicchio 2012,San Lorenzo,Toscana,Italy,4.3,28.32,2012.0
129,129,Sauvignon Blanc 2013,Seresin,Marlborough,New Zealand,3.6,24.4,2013.0
130,130,The Broken Fishplate Sauvignon Blanc 2013,"[u""d'Arenberg""]",McLaren Vale,Australia,3.9,17.23,2013.0
131,131,Le Quaiare Lugana 2014,Bertani,Amarone della Valpolicella,Italy,3.6,26.59,2014.0
132,132,Pinot Grigio 2013,Three Thieves,California,United States,3.6,9.99,2013.0
133,133,"Chablis Grand Cru ""Les Clos"" 2012",Louis Michel & Fils,Chablis,France,4.1,85.0,2012.0
134,134,Napa Valley Chardonnay,The Hess Collection,Napa Valley,United States,3.8,19.98,
135,135,Chardonnay Latitude,Stoneleigh,Marlborough,New Zealand,3.9,16.22,
136,136,California Sauvignon Blanc 2013,Guenoc,North Coast,United States,3.5,6.98,2013.0
137,137,Chablis Grand Cru Les Preuses 2012,La Chablisienne,Chablis,France,3.9,43.68,2012.0
138,138,Pinot Gris,Mt. Beautiful,Canterbury,New Zealand,3.8,19.33,
139,139,Chardonnay Schug Estate,Schug,Sonoma County,United States,3.9,21.58,
140,140,Ch\xe2teauneuf-du-Pape La Crau Blanc 2008,Domaine du Vieux T\xe9l\xe9graphe,Ch\xe2teauneuf-du-Pape,France,4.0,65.99,2008.0
141,141,Puligny-Montrachet 1er Cru Le Cailleret 2009,Domaine de Montille,C\xf4te de Beaune,France,4.5,164.98,2009.0
142,142,Santa Barbara County Reserve Viognier,Bridlewood,Central Coast,United States,3.8,19.98,
143,143,Picpoul De Pinet 2015,Petit Roubie,Languedoc-Roussillon,France,3.6,14.98,2015.0
144,144,Baron De L 2002,Ch\xe2teau du Nozet Pouilly-Fum\xe9,Loire,France,4.4,79.29,2002.0
145,145,Engelgarten Le Jardin des Anges 2011,Domaine Marcel Deiss,Alsace,France,4.0,37.82,2011.0
146,146,Chardonnay 2015,Paul Cluver,Western Cape,South Africa,3.9,20.98,2015.0
147,147,Sauvignon Blanc 2013,Terrunyo,Valle Central,Chile,3.7,19.98,2013.0
148,148,Schoffweg Le Chemin des Brebis 2011,Domaine Marcel Deiss,Alsace,France,4.0,52.5,2011.0
149,149,Vouvray Le Haut-Lieu Demi-Sec 2008,Domaine Huet,Vouvray,France,4.2,29.99,2008.0
150,150,Romeo & Juliet Passione e Sentimento Bianco 2015,Famiglia Pasqua,Veneto,Italy,3.8,10.19,2015.0
151,151,Riesling Wehlener Sonnenuhr Auslese 1983,Joh. Jos. Pr\xfcm,Mosel,Germany,4.5,170.0,1983.0
152,152,Island Fruits Pinot Grigio,Arbor Mist,New York,United States,3.6,4.98,
153,153,Chardonnay,Clos du Bois,Sonoma County,United States,3.4,10.98,
154,154,Traisental Terrassen Riesling 2013,Huber,Nieder\xf6sterreich,Austria,3.7,16.99,2013.0
155,155,Chardonnay Russian River Valley 2010,DuMOL,Russian River Valley,United States,4.3,59.46,2010.0
156,156,Pinot Grigio,Jermann,Friuli-Venezia Giulia,Italy,3.8,25.37,
157,157,Macabeo,Borsao,Campo de Borja,Spain,3.3,42.58,
158,158,Wachenheimer Riesling,Dr. B\xfcrklin-Wolf,Pfalz,Germany,3.9,19.29,
159,159,Michel Torino Cuma Organic Torrontes 2015,Bodega El Esteco,Salta,Argentina,3.6,12.61,2015.0
160,160,K Naia Verdejo 2015,Naia,Castilla y Le\xf3n,Spain,3.5,12.99,2015.0
161,161,Chablis 2013,Joseph Drouhin,Bourgogne,France,3.7,27.93,2013.0
162,162,Blue Newt White,Red Newt,Finger Lakes,United States,4.3,11.98,
163,163,Chardonnay Ritchie Vineyard 2010,Aubert,Calistoga,United States,4.3,118.99,2010.0
164,164,Chassagne-Montrachet Premier Cru Morgeot Blanc,Domaine Leroy,Bourgogne,France,4.6,400.0,
165,165,Estate Chardonnay 2010,Mount Eden Vineyards,California,United States,4.4,62.5,2010.0
166,166,Sauvignon Blanc 2013,Cape Point Vineyards,Coastal Region,South Africa,3.9,24.96,2013.0
167,167,Risqu\xe9 Methode Ancestrale,Toad Hollow,Sonoma County,United States,4.1,15.83,
168,168,Chardonnay Red Shoulder Ranch 2012,Shafer,Napa Valley,United States,4.4,54.98,2012.0
169,169,Puligny-Montrachet 1er Cru Les Pucelles,Domaine Leflaive,Bourgogne,France,4.4,545.4,
170,170,Saint-Aubin 1er Cru En Remilly 2013,Marc Colin et Fils,Saint-Aubin,France,4.0,54.48,2013.0
171,171,Chevalier-Montrachet Grand Cru 2007,Domaine Leflaive,Bourgogne,France,4.8,524.99,2007.0
172,172,Greco Di Tufo Loggia Della Serra 2015,Terredora,Campania,Italy,3.5,19.45,2015.0
173,173,Pinot Bianco Riserva Vorberg 2013,Terlan,Alto Adige,Italy,4.0,35.98,2013.0
174,174,Willamette Valley Chardonnay,Lange,Oregon,United States,3.7,19.98,
175,175,"[u""Belbo Di Cello D'Asti Moscato""]",Santo Stefano,Chianti,Italy,4.6,8.93,
176,176,Ethos Reserve Chardonnay 2013,Ch\xe2teau Ste. Michelle,Columbia Valley,United States,4.1,31.78,2013.0
177,177,Chardonnay 2012,La Crema,Sonoma County,United States,3.8,17.97,2012.0
178,178,Pouilly-Fuiss\xe9  2013,Bouchard P\xe8re & Fils,Bourgogne,France,3.9,24.98,2013.0
179,179,Pinot Grigio,Primaterra,Terre Siciliane,Italy,3.6,9.93,
180,180,Viognier,Gnarly Head,California,United States,3.6,8.99,
181,181,Bien Nacido Cuv\xe9e 2012,Qup\xe9,California,United States,3.6,21.52,2012.0
182,182,Riesling Reserve,Meyer-Fonne,Alsace,France,3.7,22.59,
183,183,Keuka Village White,Ravines,Finger Lakes,United States,3.7,12.53,
184,184,Gew\xfcrztraminer S\xfcdtirol-Alto Adige 2013,Cantina Tramin,Trentino-Alto Adige,Italy,3.8,18.78,2013.0
185,185,Marlborough Sauvignon Blanc,Esk Valley,"[u""Hawke's Bay""]",New Zealand,4.0,16.98,
186,186,Massis 2013,Contador,Rioja,Spain,3.4,17.18,2013.0
187,187,K\xe4ferberg Reserve,Fred Loimer,Nieder\xf6sterreich,Austria,3.9,56.19,
188,188,"[u""Aile d'Argent Blanc Bordeaux 2010""]",Ch\xe2teau Mouton Rothschild,Pauillac,France,4.0,101.24,2010.0
189,189,Sancerre,Patrice Moreux,Pouilly-Fum\xe9,France,3.8,20.88,
190,190,Sauvignon Blanc 2013,Coopers Creek,North Island,New Zealand,4.0,11.78,2013.0
191,191,Chardonnay 2012,Seven Falls,Washington,United States,4.0,14.98,2012.0
192,192,Le Peu Morier Vouvray 2012,Vincent Careme,Touraine,France,3.6,39.98,2012.0
193,193,Basilicata 2014,Re Manfredi,Aglianico del Vulture,Italy,4.1,23.49,2014.0
194,194,Fum\xe9 Blanc,Ferrari Carano,Sonoma County,United States,3.8,13.98,
195,195,Torrontes,Elsa Bianchi,Mendoza,Argentina,3.5,10.98,
196,196,Ribolla Gialla 2010,Damijan Podversic,Friuli-Venezia Giulia,Italy,4.1,49.97,2010.0
197,197,Meursault Blanc 2009,Domaine Coche-Dury,C\xf4te de Beaune,France,4.6,500.0,2009.0
198,198,Chassagne-Montrachet 2012,Domaine Ramonet,C\xf4te de Beaune,France,4.0,39.99,2012.0
199,199,Bin 95 Sauvignon Blanc,"[u""Lindeman's""]",South Eastern Australia,Australia,3.3,6.98,
200,200,Meursault Blanc,Domaine Coche-Dury,C\xf4te de Beaune,France,4.5,450.0,
201,201,Urra di Mare 2015,Mandrarossa,Sicilia,Italy,3.9,19.09,2015.0
202,202,Finca Montico Rueda 2014,Marqu\xe9s de Riscal,Rioja,Spain,3.6,14.58,2014.0
203,203,Donau Wachau Smaragd Spitz Singerriedel Riesling,Franz Hirtzberger,Wien,Austria,4.5,156.0,
204,204,Verdejo Montepedroso 2014,Finca Montepedroso,Rioja,Spain,3.6,15.48,2014.0
205,205,Vellodoro Pecorino Terre di Chieti 2015,Umani Ronchi,Marche,Italy,3.6,19.98,2015.0
206,206,Chardonnay Naked Unoaked 2013,Four Vines,California,United States,3.3,10.97,2013.0
207,207,Dry Farmed Santa Ynez Valley Gr\xfcner Veltliner 2013,Habit,Santa Ynez Valley,United States,4.0,25.98,2013.0
208,208,Russian River Valley Chardonnay 2013,Walter Hansel,Russian River Valley,United States,4.1,31.98,2013.0
209,209,Saint Cosme C\xf4tes du Rh\xf4ne Blanc 2013,Ch\xe2teau de Saint Cosme,Vall\xe9e du Rh\xf4ne,France,3.6,206.28,2013.0
210,210,Chassagne-Montrachet Premier Cru Clos Du Cailleret,Vincent Girardin,Bourgogne,France,4.1,75.23,
211,211,Juan Cruz Grand Reserve,Aranjuez,,,4.4,34.0,
212,212,Gr\xfcner Veltliner 2013,Berger,Nieder\xf6sterreich,Austria,3.5,13.99,2013.0
213,213,Cellar Selection Sauvignon Blanc 2013,Villa Maria,Auckland,New Zealand,3.9,20.11,2013.0
214,214,Organza Rioja,Sierra Cantabria,Rioja,Spain,3.8,20.95,
215,215,Moscofilero 2015,Skouras,Peloponnesos,Greece,3.8,14.98,2015.0
216,216,Les Vieux Clos 2011,Nicolas Joly,Saumur,France,4.0,42.98,2011.0
217,217,Chardonnay 2015,Gerovassiliou,Epanomi,Greece,4.0,35.27,2015.0
218,218,"[u""Ladoix le clou d'orge 2013""]",Louis Jadot,Bourgogne,France,3.8,30.57,2013.0
219,219,Reserva de Blanco,Tequila Don Julio,,,4.5,150.0,
220,220,Magical Moscato,Wine Sisterhood,California,United States,3.4,8.88,
221,221,V Verdelho 2015,Espor\xe3o,Alentejano,Portugal,3.6,8.93,2015.0
222,222,White Blend,Primal Roots,California,United States,3.4,8.98,
223,223,N\xb01 Sauvignon Blanc Bordeaux 2012,Dourthe,Bordeaux,France,3.4,9.6,2012.0
224,224,Chablis Grand Cru Valmur 2012,Christian Moreau Pere & Fils,Chablis,France,4.2,77.37,2012.0
225,225,Gew\xfcrztraminer,P.J. Valckenberg,Rheinhessen,Germany,3.9,11.98,
226,226,Russian River Ranches Chardonnay 2012,Sonoma-Cutrer,Russian River Valley,United States,3.9,27.48,2012.0
227,227,Hohenmorgen GG 2013,Dr. Von Bassermann-Jordan,Pfalz,Germany,4.1,36.27,2013.0
228,228,Puligny-Montrachet 2010,Olivier Leflaive,Bourgogne,France,4.2,68.98,2010.0
229,229,Mosel Auslese Riesling 2012,Heinz Eifel,Rheinhessen,Germany,4.1,14.97,2012.0
230,230,Chardonnay,Snoqualmie,Columbia Valley,United States,3.7,11.43,
231,231,Secret Reserve White Blend,Vi\xf1a Santa Rita,Valle del Maipo,Chile,3.5,12.03,
232,232,Silex 2004,Didier Dagueneau,Pouilly-Fum\xe9,France,4.5,180.0,2004.0
233,233,Chardonnay,Douglass Hill Winery,California,United States,3.3,5.98,
234,234,Chardonnay,Barista,Western Cape,South Africa,3.5,13.68,
235,235,Sauvignon Saint-Bris 2014,Domaine Jean-Marc Brocard,Chablis,France,3.5,16.48,2014.0
236,236,Unico Passerina Tere Di Chieti,Tenuta Ulisse,Abruzzo,Italy,3.7,10.7,
237,237,Montrachet Grand Cru,Bouchard P\xe8re & Fils,Bourgogne,France,4.4,699.94,
238,238,Rhein River Riesling,Rudi Wiest,Rheinhessen,Germany,3.7,10.98,
239,239,Meursault Les Vieilles Vignes 2011,Vincent Girardin,Bourgogne,France,4.2,46.89,2011.0
240,240,Fourchaume Chablis Premier Cru 2014,Roland Lavantureux,Chablis,France,4.1,41.37,2014.0
241,241,Gew\xfcrztraminer 2013,Standing Stone,Finger Lakes,United States,3.4,11.72,2013.0
242,242,Vougeot 1er Cru Le Clos Blanc de Vougeot Monopole 2012,Domaine de la Vougeraie,Bourgogne,France,4.4,132.73,2012.0
243,243,Vernaccia di San Gimignano Riserva 2010,Panizzi,Toscana,Italy,4.1,34.18,2010.0
244,244,Sauvignon Blanc Classic,Leyda,Valle de Leyda,Chile,3.6,14.78,
245,245,Argi\xf1ano Getariako Txakolina hondarribi Zuri},K5,Pa\xeds Vasco,Spain,3.2,29.69,
246,246,Napa Valley Sauvignon Blanc 2015,Voss,Napa Valley,United States,3.8,17.97,2015.0
247,247,"[u""Verdicchio Dei Castelli Di Jesi Classico Superiore Verde Di Ca' Ruptae 2014""]",Moncaro,Marche,Italy,3.4,11.97,2014.0
248,248,Finca La Linda Unoaked Chardonnay 2014,Luigi Bosca,Lujan de Cuyo,Argentina,3.4,11.43,2014.0
249,249,Riesling Tradition 2013,Weingut Robert Weil,Rheingau,Germany,3.7,23.78,2013.0
250,250,Orvieto Classico Amabile,Bigi,Umbria,Italy,3.5,9.37,
251,251,Gold Chardonnay 2007,Hundred Acre,Rutherford,United States,4.9,450.0,2007.0
252,252,Freestone Vineyards Chardonnay 2013,Joseph Phelps,St. Helena,United States,4.1,39.98,2013.0
253,253,"[u""Winemaker's Selection Sauvignon Blanc""]",Balance,Western Cape,South Africa,3.7,8.93,
254,254,Riesling Lighthouse Series,Moselland,Mosel,Germany,3.7,13.38,
255,255,Puligny-Montrachet 1er Cru Les Pucelles 2002,Domaine Leflaive,Bourgogne,France,4.3,538.54,2002.0
256,256,Rueda Limousin Riserva 2013,Marqu\xe9s de Riscal,Rioja,Spain,3.7,13.35,2013.0
257,257,Collio Malvasia,Doro Princic,Friuli-Venezia Giulia,Italy,4.2,28.59,
258,258,M\xe2con Lugny,Louis Jadot,Bourgogne,France,3.6,16.98,
259,259,Rtr Finger Lakes Riesling,Red Tail Ridge,Finger Lakes,United States,3.7,13.91,
260,260,SLH Chardonnay 2013,Hahn Winery,Monterey County,United States,3.7,18.48,2013.0
261,261,Pinot Grigio 2012,The Little Penguin,South Eastern Australia,Australia,3.2,7.98,2012.0
262,262,Grillo Sicilia 2013,Feudo Maccari,Terre Siciliane,Italy,3.7,13.96,2013.0
263,263,Pinot Gris Alsace R\xe9serve,Gustave Lorentz,Alsace,France,3.6,22.17,
264,264,Reserva Chardonnay 2010,Casillero del Diablo,Santiago,Chile,3.3,9.93,2010.0
265,265,Chardonnay Russian River Valley 2013,Ramey,Napa Valley,United States,4.2,35.98,2013.0
266,266,Grand Barossa Dry Riesling,Ch\xe2teau Tanunda,Barossa,Australia,3.2,14.73,
267,267,Chablis,Louis Latour,C\xf4te de Nuits,France,3.8,25.48,
268,268,Castillo de Jumilla Blanco 2015,Bleda,Jumilla,Spain,3.6,8.99,2015.0
269,269,Pouilly-Fum\xe9 En Travertin 2015,Henri Bourgeois,Sancerre,France,4.0,22.49,2015.0
270,270,Chablis Premier Cru Mont\xe9e De Tonnerre 2013,Billaud-Simon,Chablis,France,4.2,39.0,2013.0
271,271,Chardonnay 2012,Miner,Oakville,United States,3.9,27.98,2012.0
