,wine_index,white_wine,white_wineries,white_regions,white_countries,white_avg_wine_ratings,white_avg_price,vintage_year
1881,1881,Aidani 2015,Argyros,Santorini,Greece,3.7,27.98,2015.0
1882,1882,Chardonnay Vine Hill Vineyard 2008,Kistler Vineyards,Sonoma County,United States,4.5,99.98,2008.0
1883,1883,Roero Arneis 2012,Castello di Santa Vittoria,Piemonte,Italy,3.6,17.52,2012.0
1884,1884,Fleur De Savagnin 2012,Tournelle,Arbois,France,3.9,36.99,2012.0
1885,1885,Sancerre Les Jeunes Vignes 2015,Henri Bourgeois,Sancerre,France,4.1,17.97,2015.0
1886,1886,Cento Filari Lugana,Cesari,Verona,Italy,3.6,17.88,
1887,1887,Napa Valley Sauvignon Blanc 2009,Duckhorn,St. Helena,United States,4.0,51.48,2009.0
1888,1888,Fiano Di Avellino 2012,Guido Marsella,Campania,Italy,3.9,21.97,2012.0
1889,1889,Michel Torino Cuma Organic Torrontes 2014,Bodega El Esteco,Salta,Argentina,3.6,14.98,2014.0
1890,1890,Grenache Blanc,Daou,California,United States,4.1,32.99,
1891,1891,Pinot Grigio,Obikwa,Western Cape,South Africa,3.1,4.98,
1892,1892,Pouilly Fum\xe9,Seguin,C\xf4te de Nuits,France,3.9,27.68,
1893,1893,Tous Ensemble Chardonnay 2014,Copain,Sonoma County,United States,3.8,25.98,2014.0
1894,1894,Pouilly-Fuiss\xe9 Terres De Vergisson,Bret Brothers,M\xe2connais,France,4.0,39.49,
1895,1895,Le Grand Roc Sancerre 2010,Gerard Fiou,Loire,France,4.5,27.99,2010.0
1896,1896,Bourgogne Chardonnay 2013,Champy,C\xf4te de Beaune,France,3.7,18.99,2013.0
1897,1897,Piesporter Riesling,Weingut Reinhold Haart,Mosel,Germany,3.8,20.79,
1898,1898,Sancerre La Garenne 2014,Fernand Girard,Upper Loire,France,3.7,19.94,2014.0
1899,1899,Pouilly-Vinzelles 2014,Joseph Drouhin,Bourgogne,France,3.5,23.78,2014.0
1900,1900,Chardonnay Russian River Valley 2013,Buehler,St. Helena,United States,4.1,18.83,2013.0
1901,1901,Riesling 2014,Bex,Mosel,Germany,3.6,9.98,2014.0
1902,1902,Guenoc Lake County Sauvignon Blanc 2013,Langtry Estate,Lake County,United States,3.3,10.97,2013.0
1903,1903,R Collection Chardonnay 2014,Raymond,St. Helena,United States,3.8,11.98,2014.0
1904,1904,Esprit de Saint-Sulpice Bordeaux Blanc 2013,Ch\xe2teau Saint-Sulpice,Bordeaux,France,3.8,14.22,2013.0
1905,1905,Riesling,Lingenfelder,Pfalz,Germany,3.9,13.89,
1906,1906,Corton-Charlemagne Grand Cru 2012,Louis Latour,C\xf4te de Nuits,France,4.4,136.33,2012.0
1907,1907,Rivesaltes 1934,Ch\xe2teau Moss\xe9,Roussillon,France,4.6,110.41,1934.0
1908,1908,Sauvignon Blanc,Indaba Wines,Western Cape,South Africa,3.6,8.98,
1909,1909,Sauvignon Blanc 2014,Obikwa,Western Cape,South Africa,3.4,6.77,2014.0
1910,1910,Pouilly-Fuiss\xe9,Georges Duboeuf,Beaujolais,France,3.7,27.48,
1911,1911,California Sauvignon Blanc,Guenoc,North Coast,United States,3.3,10.78,
1912,1912,Assyrtiko 2014,Lyrarakis,Aegean Sea,Greece,3.3,14.48,2014.0
1913,1913,Sauvignon Blanc Varietales 2014,Bodega Garzon,Maldonado,Uruguay,3.5,16.62,2014.0
1914,1914,Lesca Chardonnay 2013,De Wetshof,Robertson,South Africa,3.8,19.48,2013.0
1915,1915,Riesling Alsace 2010,Trimbach,Alsace,France,3.6,23.48,2010.0
1916,1916,Vire-Cless\xe9 2010,Les Heritiers Du Comte Lafon,C\xf4te Chalonnaise,France,4.1,34.99,2010.0
1917,1917,Leirana Albari\xf1o 2014,Forjas del Salnes,Galicia,Spain,3.8,32.98,2014.0
1918,1918,Indian Wells Chardonnay 2013,Ch\xe2teau Ste. Michelle,Columbia Valley,United States,3.6,16.98,2013.0
1919,1919,Chardonnay 2014,Vasse Felix,Margaret River,Australia,3.6,22.98,2014.0
1920,1920,Alvarinho Vinho Verde 2014,Soalheiro,Mon\xe7\xe3o e Melga\xe7o,Portugal,3.9,15.99,2014.0
