,index,Unnamed: 0,0,1,2,3,4,5
3515,5,5,[u'Saint-\xc8stephe 2002'],"[u""Ch\xe2teau Cos d'Estournel""]",[u'Saint-Est\xe8phe'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $123.49\n', u'\n']"
3516,6,6,[u'Amarone della Valpolicella Classico 2011'],[u'Allegrini'],[u'Veneto'],[u'Italy'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $69.94\n', u'\n']"
3517,7,7,[u'Corte A 2011'],[u'Bodega Vistalba'],[u'Mendoza'],[u'Argentina'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $54.98\n', u'\n']"
3518,8,8,[u'Bolgheri Superiore Grattamacco 2011'],[u'ColleMassari'],[u'Toscana'],[u'Italy'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $88.98\n', u'\n']"
3519,9,9,[u'Ribera Del Duero Reserva Tinto 2010'],[u'Pago de Carraovejas'],[u'Ribera del Duero'],[u'Spain'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $67.46\n', u'\n']"
3520,10,10,[u'Campo Le\xf3n Amarone della Valpolicella 2010'],[u'Latium Morini'],[u'Veneto'],[u'Italy'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $53.98\n', u'\n']"
3521,11,11,[u'Luce 2011'],[u'Luce della Vite'],[u'Toscana'],[u'Italy'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $99.94\n', u'\n']"
3522,12,12,[u'Saint-Est\xe8phe 2005'],[u'Ch\xe2teau Montrose'],[u'Saint-Est\xe8phe'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $169.98\n', u'\n']"
3523,13,13,[u'Ch\xe2teauneuf-du-Pape 2009'],[u'Ch\xe2teau de Beaucastel'],[u'Ch\xe2teauneuf-du-Pape'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $114.98\n', u'\n']"
3524,14,14,[u'Palermo Cabernet Sauvignon 2014'],[u'Orin Swift'],[u'Napa Valley'],[u'United States'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $43.18\n', u'\n']"
3525,15,15,[u'Overture'],[u'Opus One'],[u'Oakville'],[u'United States'],"[u'\nAvg. Rating: 4.4\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $115.98\n', u'\n']"
3526,16,16,[u'Margaux Grand Cru Class\xe9 2005'],[u'Ch\xe2teau du Tertre'],[u'Margaux'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $55.49\n', u'\n']"
3527,17,17,[u'Corte A 2012'],[u'Bodega Vistalba'],[u'Mendoza'],[u'Argentina'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $59.98\n', u'\n']"
3528,18,18,"[u""Brunello di Montalcino Poggio all'Oro Riserva 2007""]",[u'Banfi'],[u'Toscana'],[u'Italy'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $152.49\n', u'\n']"
3529,19,19,[u'Saint-\xc9milion Premier Grand Cru Class\xe9 2006'],[u'Ch\xe2teau Figeac'],[u'Saint-\xc9milion'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $132.23\n', u'\n']"
3530,20,20,[u'Pinot Noir Reserve Evenstad 2008'],[u'Domaine Serene'],[u'Oregon'],[u'United States'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $108.48\n', u'\n']"
