,index,Unnamed: 0,0,1,2,3,4,5
5635,36,36,[u'Chardonnay'],[u'Carlo Rossi'],[u'California'],[u'United States'],"[u'\nAvg. Rating: 3.0\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $8.98\n', u'\n']"
5636,37,37,[u'Verdicchio Di Matelica White 2014'],[u'Bisci'],[u'Marche'],[u'Italy'],"[u'\nAvg. Rating: 3.7\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $15.98\n', u'\n']"
5637,38,38,[u'Echo Ridge Sauvignon Blanc'],[u'Fetzer'],[u'Mendocino County'],[u'United States'],"[u'\nAvg. Rating: 3.1\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $7.99\n', u'\n']"
5638,39,39,[u'Napa Valley Chardonnay 2013'],[u'Pahlmeyer'],[u'Napa Valley'],[u'United States'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $74.98\n', u'\n']"
5639,40,40,[u'Guenoc Lake County Sauvignon Blanc'],[u'Langtry Estate'],[u'Lake County'],[u'United States'],"[u'\nAvg. Rating: 3.4\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $9.98\n', u'\n']"
5640,41,41,[u'Les Arums de Lagrange Bordeaux'],[u'Ch\xe2teau Lagrange'],[u'Saint-Julien'],[u'France'],"[u'\nAvg. Rating: 3.7\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $41.99\n', u'\n']"
5641,42,42,[u'Silencis Xarel\xb7lo 2014'],[u'Raventos I Blanc'],[u'Catalunya'],[u'Spain'],"[u'\nAvg. Rating: 3.7\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $23.97\n', u'\n']"
5642,43,43,[u'Chardonnay'],[u'Fancy Pants'],[u'St. Helena'],[u'United States'],"[u'\nAvg. Rating: 3.4\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $13.18\n', u'\n']"
5643,44,44,[u'Federspiel Gr\xfcner Veltliner 2014'],[u'Rudi Pichler'],[u'Wachau'],[u'Austria'],"[u'\nAvg. Rating: 3.8\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $21.78\n', u'\n']"
5644,45,45,[u'Chardonnay 2013'],[u'Rutherford Ranch'],[u'California'],[u'United States'],"[u'\nAvg. Rating: 3.6\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $15.98\n', u'\n']"
